name,n_bands_available,f115w_available,f115w_sum,f115w_max,f115w_mean,f115w_std,f150w_available,f150w_sum,f150w_max,f150w_mean,f150w_std,f277w_available,f277w_sum,f277w_max,f277w_mean,f277w_std,f444w_available,f444w_sum,f444w_max,f444w_mean,f444w_std,notes
COSJ100138+022126,4,Yes,4456.2,38.3309,0.049513,0.424594,Yes,6493.55,53.4147,0.072151,0.62745,Yes,8906.08,48.6605,0.098956,0.786303,Yes,6418.92,24.8096,0.071321,0.505053,
COSJ100138+022225,4,Yes,49.98,0.856,0.000555,0.03272,Yes,156.98,0.9716,0.001744,0.030409,Yes,163.79,0.7181,0.00182,0.022412,Yes,172.68,0.6573,0.001919,0.022199,
COSJ100138+023003,4,Yes,-102.31,0.2393,-0.001137,0.034564,Yes,-86.62,0.2549,-0.000962,0.028177,Yes,55.29,0.3976,0.000614,0.017087,Yes,154.21,0.5623,0.001713,0.026787,
COSJ100138+023041,4,Yes,1934.13,11.822,0.02149,0.175652,Yes,2973.71,18.8276,0.033041,0.271587,Yes,5730.31,26.6266,0.06367,0.482552,Yes,4114.17,14.5827,0.045713,0.320553,
COSJ100140+020632,4,Yes,7955.1,36.0569,0.08839,0.588614,Yes,11217.14,54.8993,0.124635,0.880939,Yes,13258.02,43.8964,0.147311,0.965556,Yes,7568.95,19.5356,0.084099,0.510758,
COSJ100141+022159,4,Yes,2323.27,6.4307,0.025814,0.176627,Yes,2961.53,10.3712,0.032906,0.250398,Yes,3368.91,9.2986,0.037432,0.289228,Yes,2631.24,5.4973,0.029236,0.211707,
COSJ100141+022738,4,Yes,-3.39,0.9212,-3.8e-05,0.032925,Yes,151.36,1.7004,0.001682,0.032661,Yes,458.1,7.4273,0.00509,0.089993,Yes,897.88,12.4546,0.009976,0.185558,
COSJ100143+020435,4,Yes,151.35,0.9929,0.001682,0.044002,Yes,235.42,1.2074,0.002616,0.045643,Yes,371.31,0.9494,0.004126,0.036691,Yes,160.24,0.4634,0.00178,0.02114,
COSJ100143+021020,4,Yes,113.83,0.45,0.001265,0.025004,Yes,173.23,0.5205,0.001925,0.02185,Yes,223.76,0.4381,0.002486,0.017203,Yes,245.45,0.4806,0.002727,0.019006,
COSJ100144+020921,4,Yes,349.82,2.0013,0.003887,0.061703,Yes,558.16,2.6871,0.006202,0.076316,Yes,692.88,2.3685,0.007699,0.07819,Yes,327.72,1.0442,0.003641,0.040875,
COSJ100144+022826,4,Yes,319.17,7.643,0.003546,0.072103,Yes,688.42,12.6497,0.007649,0.117203,Yes,1763.81,13.6379,0.019598,0.210607,Yes,2043.75,11.0093,0.022708,0.220372,
COSJ100145+022949,4,Yes,36.08,0.6144,0.000401,0.037497,Yes,36.52,1.1151,0.000406,0.034485,Yes,466.91,12.9101,0.005188,0.079487,Yes,501.99,10.4332,0.005578,0.069046,
COSJ100146+022109,4,Yes,430.89,3.2197,0.004788,0.058659,Yes,814.88,4.1887,0.009054,0.076657,Yes,1156.12,7.7534,0.012846,0.151781,Yes,1163.35,6.9302,0.012926,0.155149,
COSJ100148+022724,4,Yes,1727.41,13.1399,0.019193,0.19421,Yes,2190.19,15.0383,0.024335,0.240089,Yes,2033.31,10.0454,0.022592,0.207166,Yes,1565.55,6.1719,0.017395,0.141263,
COSJ100149+022734,4,Yes,1109.18,8.5723,0.012324,0.117484,Yes,1926.95,13.4071,0.021411,0.190303,Yes,3494.59,20.7172,0.038829,0.362329,Yes,3579.28,16.9271,0.03977,0.351278,
COSJ100151+022105,4,Yes,460.16,16.4837,0.005113,0.104948,Yes,639.31,16.0404,0.007103,0.127799,Yes,877.98,5.7285,0.009755,0.105166,Yes,995.68,6.6283,0.011063,0.135477,
COSJ100151+022347,4,Yes,-61.37,0.2651,-0.000682,0.031359,Yes,4.66,0.2274,5.2e-05,0.025199,Yes,162.12,0.3868,0.001801,0.015701,Yes,291.78,0.9157,0.003242,0.030218,
COSJ100151+022625,4,Yes,2435.31,13.123,0.027059,0.20023,Yes,3552.06,21.3709,0.039467,0.313949,Yes,6953.46,27.4555,0.077261,0.564268,Yes,6001.03,20.1065,0.066678,0.462091,
COSJ100152+022504,4,Yes,-54.29,0.5457,-0.000603,0.02338,Yes,15.8,0.5985,0.000176,0.020891,Yes,470.62,1.0649,0.005229,0.027974,Yes,629.09,1.7423,0.00699,0.050846,
COSJ100152+022856,4,Yes,761.22,6.2082,0.008458,0.086475,Yes,914.86,8.4526,0.010165,0.112594,Yes,1406.97,7.4728,0.015633,0.144686,Yes,959.51,3.2856,0.010661,0.082732,
COSJ100155+021506,4,Yes,888.26,48.1307,0.00987,0.294883,Yes,1130.33,40.4414,0.012559,0.280549,Yes,1924.23,24.1078,0.02138,0.301903,Yes,1966.64,21.6574,0.021852,0.330623,
COSJ100157+021407,4,Yes,1045.15,13.1715,0.011613,0.156061,Yes,1727.0,19.6061,0.019189,0.227062,Yes,2941.52,25.3988,0.032684,0.396708,Yes,1934.05,12.3824,0.021489,0.24374,
COSJ100158+022406,4,Yes,119.31,0.3507,0.001326,0.026824,Yes,96.1,0.4517,0.001068,0.023148,Yes,136.84,0.3455,0.00152,0.016055,Yes,177.41,0.3166,0.001971,0.017137,
COSJ100202+021902,4,Yes,583.81,9.1599,0.006487,0.098943,Yes,898.01,13.3763,0.009978,0.142745,Yes,1680.39,13.9333,0.018671,0.219008,Yes,1692.09,10.7823,0.018801,0.201918,
COSJ100205+021910,4,Yes,716.5,1.4877,0.007961,0.059075,Yes,1065.19,1.9023,0.011835,0.068166,Yes,1331.58,2.7508,0.014795,0.089353,Yes,975.0,2.5074,0.010833,0.07037,
COSJ100206+022349,4,Yes,74.64,0.23,0.000829,0.026248,Yes,104.43,0.4223,0.00116,0.022629,Yes,289.08,1.1518,0.003212,0.02903,Yes,379.0,2.3898,0.004211,0.053654,
